,Accuracy_Rate,Precision,Recall,F1_Score
Majority Vote,0.5958549222797928,0.49758254623010234,0.7363936236782458,0.5933857681718934
Calibrated Confidence Score,0.6367875647668394,0.5318437675719275,0.7831944113320879,0.6329117764439798
Calibrated Multiplicative Score,0.6316062176165803,0.5277211387427494,0.7767505297878669,0.6278391043764162
Max Poll (Confidence),0.6544041450777202,0.547906418288586,0.7883254259768248,0.6459601316932039
Max Poll (Logits),0.655440414507772,0.5472472944246098,0.8128103181085518,0.6536184292765282
Veto Poll,0.5989637305699482,0.0,0.0,0.0
